Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Global Store Efficiency,Global Load Efficiency,Requested Global Load Throughput(bytes/sec),Branch Efficiency(%),Requested Global Store Throughput(bytes/sec),gst request,gst total,gst 64B,gst 32B,cta launched,sm cta launched,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,tex cache hit,gld coalesced,tex cache miss,gld uncoalesced,warp serialize,instructions,divergent branch,branch
"Memcpy HtoD [sync]",47066355,30400,,,,,,,,,,123904,4075789473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",47211379,29600,,,,,,,,,,123904,4185945945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_1(float const *, float const *, float*, int)",47244467,36624672,1,1,1,8,8,1,17,32,0,,,13,5,18,894146543,100,3383071,968,3872,0,3872,1,1,0,0,0,0,0,7744,1022208,0,1022208,340736,0,1022208,0,0,0,1218890,0,175308
"Memcpy DtoH [sync]",86688371,29760,,,,,,,,,,123904,4163440860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",136520856,111008,,,,,,,,,,495616,4464687229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",136861336,109312,,,,,,,,,,495616,4533957845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_1(float const *, float const *, float*, int)",136974360,293124896,1,1,1,8,8,1,17,32,0,,,13,5,18,892928573,100,1690329,3872,15488,0,15488,1,1,0,0,0,0,0,30976,8177664,0,8177664,2725888,0,8177664,0,0,0,9643438,0,1382492
"Memcpy DtoH [sync]",431349624,111296,,,,,,,,,,495616,4453133985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",488805657,244288,,,,,,,,,,1115136,4564841498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",489404633,212480,,,,,,,,,,1115136,5248192771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_1(float const *, float const *, float*, int)",489620601,988327360,1,1,1,8,8,1,17,32,0,,,13,5,18,893918423,100,1129360,8712,34848,0,34848,1,1,0,0,0,0,0,69696,27599616,0,27599616,9199872,0,27599616,0,0,0,32429234,0,4643772
"Memcpy DtoH [sync]",1479102489,248032,,,,,,,,,,1115136,4495936008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",1538657697,30272,,,,,,,,,,123904,4093023255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",1538794881,29504,,,,,,,,,,123904,4199566160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_1(float const *, float const *, float*, int)",1538827905,9436416,1,1,1,16,16,1,17,32,0,,,27,27,3465217582,100,13108538,968,1936,1936,0,1,1,0,0,0,340736,0,7744,681472,0,340736,340736,0,681472,0,0,0,1220304,0,175432
"Memcpy DtoH [sync]",1548349217,29472,,,,,,,,,,123904,4204125950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",1597030311,110112,,,,,,,,,,495616,4501017146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",1597352871,109536,,,,,,,,,,495616,4524685947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_1(float const *, float const *, float*, int)",1597465863,74938560,1,1,1,16,16,1,17,32,0,,,27,27,3487336244,100,6616120,3872,7744,7744,0,1,1,0,0,0,2725888,0,30976,5451776,0,2725888,2725888,0,5451776,0,0,0,9645864,0,1382704
"Memcpy DtoH [sync]",1673483175,110944,,,,,,,,,,495616,4467262763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",1730438024,244512,,,,,,,,,,1115136,4560659599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",1731025672,212832,,,,,,,,,,1115136,5239512855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_1(float const *, float const *, float*, int)",1731241992,252594048,1,1,1,16,16,1,17,32,0,,,27,27,3499769468,100,4415972,8712,17424,17424,0,1,1,0,0,0,9199872,0,69696,18399744,0,9199872,9199872,0,18399744,0,0,0,32432672,0,4644072
"Memcpy DtoH [sync]",1985126408,246656,,,,,,,,,,1115136,4521017125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2042730368,30656,,,,,,,,,,123904,4041753653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2042862464,30016,,,,,,,,,,123904,4127931769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_1(float const *, float const *, float*, int)",2042895936,5255296,1,1,1,22,22,1,17,32,0,,,13,88,17,678,11195505809,100,45233501,1024,3984,1192,2040,1,1,0,0,188672,170368,0,14864,1101056,752,742016,360448,0,1101056,0,0,0,1292193,0,185696
"Memcpy DtoH [sync]",2048234880,29344,,,,,,,,,,123904,4222464558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2096368818,110304,,,,,,,,,,495616,4493182477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2096687730,109504,,,,,,,,,,495616,4526008182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_1(float const *, float const *, float*, int)",2096800786,41958272,1,1,1,22,22,1,17,32,0,,,13,935,17,678,11207900379,100,22606869,4096,15872,4544,8256,1,1,0,0,1509376,1362944,0,59264,8808448,3072,5936128,2883584,0,8808448,0,0,0,10205984,0,1462880
"Memcpy DtoH [sync]",2139798642,109568,,,,,,,,,,495616,4523364485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2194356337,244480,,,,,,,,,,1115136,4561256544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2194959697,212384,,,,,,,,,,1115136,5250565014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_1(float const *, float const *, float*, int)",2195175537,141387712,1,1,1,22,22,1,17,32,0,,,13,917,17,678,11225633724,100,15101778,9216,35760,10392,18504,1,1,0,0,5094144,4599936,0,133488,29728512,6864,20034432,9732096,0,29728512,0,0,0,34311840,0,4912992
"Memcpy DtoH [sync]",2337664561,260256,,,,,,,,,,1115136,4284765769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2395438656,30624,,,,,,,,,,123904,4045977011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2395576288,29664,,,,,,,,,,123904,4176914778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_2(float*, float*, float*, int)",2395609440,393984,22,22,1,8,8,1,9,32,0,,,4,5,6,9285028087,100,35076323,36,432,0,432,54,18,0,0,0,0,0,864,114048,0,114048,12672,0,114048,0,0,0,45485,0,6480
"Memcpy DtoH [sync]",2396070272,29440,,,,,,,,,,123904,4208695652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2445012918,110144,,,,,,,,,,495616,4499709471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2445347510,109248,,,,,,,,,,495616,4536613942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_2(float*, float*, float*, int)",2445460246,2948448,44,44,1,8,8,1,9,32,0,,,4,5,6,9918618935,100,18776281,144,1728,0,1728,216,72,0,0,0,0,0,3456,912384,0,912384,101376,0,912384,0,0,0,359297,0,51264
"Memcpy DtoH [sync]",2448494038,108384,,,,,,,,,,495616,4572778269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2505710067,244544,,,,,,,,,,1115136,4560062810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2506302899,212384,,,,,,,,,,1115136,5250565014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_2(float*, float*, float*, int)",2506518771,10650848,66,66,1,8,8,1,9,32,0,,,4,519,6,025,9266208788,100,11631749,324,3872,0,3872,484,162,0,0,0,0,0,7744,3066624,0,3066624,342144,0,3066624,0,0,0,1207566,0,172368
"Memcpy DtoH [sync]",2517256595,247360,,,,,,,,,,1115136,4508150064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2574482487,30560,,,,,,,,,,123904,4054450261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2574626263,29632,,,,,,,,,,123904,4181425485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_2(float*, float*, float*, int)",2574659351,322880,11,11,1,16,16,1,9,32,0,,,9,643,9,643,11451587916,100,43613707,40,224,224,0,14,5,0,0,0,39424,0,896,78848,0,39424,14080,0,78848,0,0,0,50545,0,7200
"Memcpy DtoH [sync]",2575049591,29216,,,,,,,,,,123904,4240963855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2625942947,110432,,,,,,,,,,495616,4487974500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2626262403,109248,,,,,,,,,,495616,4536613942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_2(float*, float*, float*, int)",2626375171,2624992,22,22,1,16,16,1,9,32,0,,,9,9,11070874740,100,20957648,144,864,864,0,54,18,0,0,0,304128,0,3456,608256,0,304128,101376,0,608256,0,0,0,359305,0,51264
"Memcpy DtoH [sync]",2629088323,108576,,,,,,,,,,495616,4564692012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2683997008,243680,,,,,,,,,,1115136,4576231122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2684587632,212480,,,,,,,,,,1115136,5248192771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_2(float*, float*, float*, int)",2684803696,8595904,33,33,1,16,16,1,9,32,0,,,9,149,9,149,11323853166,100,14357597,328,1936,1936,0,121,41,0,0,0,1022208,0,7744,2044416,0,1022208,346368,0,2044416,0,0,0,1222489,0,174496
"Memcpy DtoH [sync]",2693491920,242848,,,,,,,,,,1115136,4591909342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2749296072,30432,,,,,,,,,,123904,4071503680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2749426824,29600,,,,,,,,,,123904,4185945945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_2(float*, float*, float*, int)",2749459944,601952,8,8,1,22,22,1,9,32,0,,,5,205,6,629,12182676497,100,49428039,48,498,149,255,8,3,0,0,23584,21296,0,1858,137632,94,92752,16896,0,137632,0,0,0,60641,0,8640
"Memcpy DtoH [sync]",2750131112,29376,,,,,,,,,,123904,4217864923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2797870825,110528,,,,,,,,,,495616,4484076433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2798190345,109152,,,,,,,,,,495616,4540603928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_2(float*, float*, float*, int)",2798302985,4661472,16,16,1,22,22,1,9,32,0,,,4,868,6,165,11451314932,100,23018968,160,1775,500,910,29,10,0,0,180928,140448,0,6740,986656,365,665280,112640,0,986656,0,0,0,399217,0,56960
"Memcpy DtoH [sync]",2803041321,109024,,,,,,,,,,495616,4545934840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2858414326,244640,,,,,,,,,,1115136,4558273381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2859018934,212512,,,,,,,,,,1115136,5247402499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MatrixMulKernel_2(float*, float*, float*, int)",2859234934,15732672,24,24,1,22,22,1,9,32,0,,,4,79,6,077,11214706851,100,15091449,352,3968,1136,2064,64,22,0,0,566016,511104,0,14816,3303168,768,2226048,371712,0,3303168,0,0,0,1311921,0,187264
"Memcpy DtoH [sync]",2875055606,243584,,,,,,,,,,1115136,4578034682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2931297634,30528,,,,,,,,,,123904,4058700209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2931426018,29792,,,,,,,,,,123904,4158968850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=8>(float*, float const *, float const *, int)",2931459426,125184,22,22,1,8,8,1,11,544,0,,,4,5,4,5,4919254658,100,110684089,36,432,0,432,54,18,0,0,0,0,0,864,19008,0,19008,1584,0,19008,0,0,31553,23274,0,2520
"Memcpy DtoH [sync]",2931670562,29184,,,,,,,,,,123904,4245614035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2979720812,110656,,,,,,,,,,495616,4478889531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",2980085804,109344,,,,,,,,,,495616,4532630962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=8>(float*, float const *, float const *, int)",2980198636,846144,44,44,1,8,8,1,11,544,0,,,4,5,4,5,5786081199,100,65828571,144,1728,0,1728,216,72,0,0,0,0,0,3456,152064,0,152064,12672,0,152064,0,0,233352,178576,0,19584
"Memcpy DtoH [sync]",2981170508,110272,,,,,,,,,,495616,4494486360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3086308347,244768,,,,,,,,,,1115136,4555889658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3086973403,212448,,,,,,,,,,1115136,5248983280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
