Name,Registers/Thread,Static Shared Memory,gst uncoalesced,gst coalesced,gld uncoalesced,gld coalesced,gld 32B,gld request,gld 128B,gld 64B,divergent branch,branch,sm cta launched,cta launched,warp serialize,instructions,gst 32B,gst 64B,gst 128B,gld total,local store,local load,gst total,gst request,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec)
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,102804063,25408,,,,,,,,123904,4876574307
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,102934239,24896,,,,,,,,123904,4976863753
"MatrixMulKernel_1(float const *, float const *, float*, int)",16,44,0,7744,0,1022208,1022208,681472,0,0,0,175308,0,1,0,1893586,3872,0,0,1022208,0,0,1022208,1936,102963231,49859744,1,1,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,154417078,26335,,,,,,,,123904,4704917410
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,198547596,88448,,,,,,,,495616,5603473227
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,198814284,87840,,,,,,,,495616,5642258652
"MatrixMulKernel_1(float const *, float const *, float*, int)",16,44,0,30976,0,8177664,8177664,5451776,0,0,0,1382492,0,1,0,15068110,15488,0,0,8177664,0,0,8177664,7744,198906188,398426496,1,1,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,598172576,90907,,,,,,,,495616,5451901393
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,644504638,195104,,,,,,,,1115136,5715597835
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,645034206,194304,,,,,,,,1115136,5739130434
"MatrixMulKernel_1(float const *, float const *, float*, int)",16,44,0,69696,0,27599616,27599616,18399744,0,0,0,4643772,0,1,0,50767994,34848,0,0,27599616,0,0,27599616,17424,645232670,1345354816,1,1,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,1992066262,201301,,,,,,,,1115136,5539644611
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,2039721532,25472,,,,,,,,123904,4864321608
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,2039826268,24736,,,,,,,,123904,5009055627
"MatrixMulKernel_1(float const *, float const *, float*, int)",16,44,0,7744,0,681472,0,0,0,0,0,175432,0,1,0,1895000,0,1936,0,681472,0,0,681472,1936,2039855100,13156256,1,1,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,2053118512,25247,,,,,,,,123904,4907672198
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,2102145577,88512,,,,,,,,495616,5599421547
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,2102386441,87872,,,,,,,,495616,5640203932
"MatrixMulKernel_1(float const *, float const *, float*, int)",16,44,0,30976,0,5451776,2725888,5451776,0,2725888,0,1382704,0,1,0,15070536,0,7744,0,5451776,0,0,5451776,7744,2102478377,104407840,1,1,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,2207585418,91004,,,,,,,,495616,5446090281
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,2255012699,195680,,,,,,,,1115136,5698773507
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,2255493851,194720,,,,,,,,1115136,5726869350
"MatrixMulKernel_1(float const *, float const *, float*, int)",16,44,0,69696,0,18399744,9199872,18399744,0,9199872,0,4644072,0,1,0,50771432,0,17424,0,18399744,0,0,18399744,17424,2255692603,349935936,1,1,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,2606398427,201301,,,,,,,,1115136,5539644611
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,2660441652,25408,,,,,,,,123904,4876574307
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,2660547572,24896,,,,,,,,123904,4976863753
"MatrixMulKernel_1(float const *, float const *, float*, int)",16,44,0,14864,0,1101056,742016,698368,188672,170368,0,0,0,0,0,2005936,2040,1192,752,1101056,0,0,913136,1984,2660576532,7454208,1,1,1,22,22,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,2668138921,25248,,,,,,,,123904,4907477820
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,2715628001,88416,,,,,,,,495616,5605501266
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,2715860257,87840,,,,,,,,495616,5642258652
"MatrixMulKernel_1(float const *, float const *, float*, int)",16,44,0,0,0,0,5936128,5586944,1509376,1362944,0,1462880,0,1,0,15944496,8256,4544,3072,8808448,0,0,7302144,7936,2715952161,59424160,1,1,1,22,22,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,2776084558,90812,,,,,,,,495616,5457604721
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,2825992637,195520,,,,,,,,1115136,5703436988
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,2826484669,194624,,,,,,,,1115136,5729694179
"MatrixMulKernel_1(float const *, float const *, float*, int)",16,44,0,133488,0,29728512,20034432,18855936,5094144,4599936,0,4912992,0,1,0,53711536,18504,10392,6864,29728512,0,0,24641232,17856,2826683357,200264640,1,1,1,22,22,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3027644522,201142,,,,,,,,1115136,5544023625
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3080105628,25408,,,,,,,,123904,4876574307
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3080233372,24800,,,,,,,,123904,4996129032
"MatrixMulKernel_2(float const *, float const *, float*, int)",10,44,0,1920,0,253440,253440,168960,0,0,0,15120,0,123,0,115057,960,0,0,253440,0,0,253440,488,3080262236,1465536,22,22,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3081833591,25472,,,,,,,,123904,4864321608
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3128661775,88544,,,,,,,,495616,5597397903
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3128898511,88096,,,,,,,,495616,5625862695
"MatrixMulKernel_2(float const *, float const *, float*, int)",10,44,0,7760,0,2048640,2044416,1362944,0,0,0,114632,0,486,0,916429,3856,0,0,2035968,0,0,2035968,1940,3128990671,12933920,44,44,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3142022049,91550,,,,,,,,495616,5413610049
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3194061942,195296,,,,,,,,1115136,5709978699
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3194545910,194304,,,,,,,,1115136,5739130434
"MatrixMulKernel_2(float const *, float const *, float*, int)",10,44,0,17344,0,6868224,6925248,4616832,0,0,0,391552,0,1092,0,3122453,8672,0,0,6950592,0,0,6950592,4368,3194744310,38573888,66,66,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3233423151,201144,,,,,,,,1115136,5543968500
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3286567907,25376,,,,,,,,123904,4882723833
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3286678883,24800,,,,,,,,123904,4996129032
"MatrixMulKernel_2(float const *, float const *, float*, int)",10,44,0,2112,0,185856,81664,163328,0,81664,0,11520,0,28,0,115073,0,544,0,152064,0,0,152064,544,3286707747,1380800,11,11,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3288137854,25504,,,,,,,,123904,4858218318
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3335156054,88416,,,,,,,,495616,5605501266
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3335392470,87872,,,,,,,,495616,5640203932
"MatrixMulKernel_2(float const *, float const *, float*, int)",10,44,0,7616,0,1340416,704000,1408000,0,704000,0,113920,0,122,0,910753,0,1952,0,1340416,0,0,1340416,1920,3335484406,11713024,22,22,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3347277130,89790,,,,,,,,495616,5519723799
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3399240126,195488,,,,,,,,1115136,5704370600
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3399753918,194432,,,,,,,,1115136,5735352205
"MatrixMulKernel_2(float const *, float const *, float*, int)",10,44,0,17408,0,4595712,2289408,4578816,0,2289408,0,374528,0,270,0,3028881,0,4368,0,4561920,0,0,4561920,4336,3399952478,36721120,33,33,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3436776441,200344,,,,,,,,1115136,5566106297
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3487899181,25472,,,,,,,,123904,4864321608
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3488011661,24768,,,,,,,,123904,5002583979
"MatrixMulKernel_2(float const *, float const *, float*, int)",10,44,0,3732,0,274824,185416,174592,43648,42680,0,14400,0,16,0,115057,405,249,170,256432,0,0,214003,527,3488040493,2551936,8,8,1,22,22,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3490701192,25504,,,,,,,,123904,4858218318
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3538927808,88512,,,,,,,,495616,5599421547
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3539162048,87872,,,,,,,,495616,5640203932
"MatrixMulKernel_2(float const *, float const *, float*, int)",10,44,0,15410,0,2234144,1511840,1396736,365728,350944,0,125312,0,65,0,956273,2122,1072,709,2240832,0,0,1850198,1984,3539254016,21461888,16,16,1,22,22,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3560822314,91837,,,,,,,,495616,5396691965
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3610350943,195456,,,,,,,,1115136,5705304518
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3610852447,194624,,,,,,,,1115136,5729694179
"MatrixMulKernel_2(float const *, float const *, float*, int)",10,44,0,32208,0,7374312,4907496,4681248,1243704,1208328,0,408576,0,143,0,3199025,4394,2762,1732,7406520,0,0,6117588,4433,3611051295,66967232,24,24,1,22,22,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3678670183,201240,,,,,,,,1115136,5541323792
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3729827188,25408,,,,,,,,123904,4876574307
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3730009460,24768,,,,,,,,123904,5002583979
"void MatrixMulKernel_3<int=8>(float*, float const *, float const *, int)",12,556,0,1952,0,42944,42944,21472,0,0,0,5740,0,122,76019,53458,984,0,0,42240,0,0,42240,484,3730038292,316128,22,22,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3730969351,26367,,,,,,,,123904,4699207342
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3777019049,88544,,,,,,,,495616,5597397903
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3777256649,88096,,,,,,,,495616,5625862695
"void MatrixMulKernel_3<int=8>(float*, float const *, float const *, int)",12,556,0,7744,0,340736,342144,171072,0,0,0,43792,0,482,623338,418603,3872,0,0,340736,0,0,340736,1940,3777348809,2350784,44,44,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3779748902,93343,,,,,,,,495616,5309621503
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3831982522,195552,,,,,,,,1115136,5702503681
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3832474682,194336,,,,,,,,1115136,5738185410
"void MatrixMulKernel_3<int=8>(float*, float const *, float const *, int)",12,556,0,17504,0,1155264,1147872,573936,0,0,0,147056,0,1090,2071554,1383219,8712,0,0,1152096,0,0,1152096,4368,3832673082,7666240,66,66,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3840446287,202588,,,,,,,,1115136,5504452386
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3891807396,25344,,,,,,,,123904,4888888888
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3891953892,24768,,,,,,,,123904,5002583979
"void MatrixMulKernel_3<int=16>(float*, float const *, float const *, int)",12,2092,0,1920,0,10560,0,10560,0,10560,0,3256,0,33,0,43304,0,544,0,10560,0,0,10560,480,3891982756,181216,11,11,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3892210338,25536,,,,,,,,123904,4852130325
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3938558329,88480,,,,,,,,495616,5601446654
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3938792473,87872,,,,,,,,495616,5640203932
"void MatrixMulKernel_3<int=16>(float*, float const *, float const *, int)",12,2092,0,7680,0,84480,0,84480,0,84480,0,22960,0,120,0,368352,0,1920,0,85888,0,0,85888,1968,3938884409,1296640,22,22,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3940260886,92158,,,,,,,,495616,5377894485
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3989655083,195552,,,,,,,,1115136,5702503681
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3990147275,194880,,,,,,,,1115136,5722167487
"void MatrixMulKernel_3<int=16>(float*, float const *, float const *, int)",12,2092,0,17344,0,286176,0,287232,0,287232,0,73336,0,271,0,1238360,0,4368,0,288288,0,0,288288,4336,3990346219,4074912,33,33,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,3994620580,200701,,,,,,,,1115136,5556205499
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4046356730,25376,,,,,,,,123904,4882723833
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4046463002,24672,,,,,,,,123904,5022049286
"void MatrixMulKernel_3<int=22>(float*, float const *, float const *, int)",13,3916,0,3020,0,13002,7801,7440,2706,4267,0,2240,0,15,43746,47391,542,307,210,17018,0,0,13761,496,4046491770,374208,8,8,1,22,22,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4047479439,26271,,,,,,,,123904,4716379277
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4099191694,88512,,,,,,,,495616,5599421547
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4099442542,87712,,,,,,,,495616,5650492520
"void MatrixMulKernel_3<int=22>(float*, float const *, float const *, int)",13,3916,0,14546,0,125136,64912,63488,23392,38096,0,16640,0,63,366675,373658,1847,1333,681,125696,0,0,102470,2015,4099534318,2342880,16,16,1,22,22,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4102130370,91710,,,,,,,,495616,5404165303
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4151812027,195808,,,,,,,,1115136,5695048210
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4152275739,194432,,,,,,,,1115136,5735352205
"void MatrixMulKernel_3<int=22>(float*, float const *, float const *, int)",13,3916,0,33480,0,433442,217386,211296,81268,123334,0,58368,0,144,1283210,1279512,4392,2887,1868,439710,0,0,354520,4495,4152474267,7388672,24,24,1,22,22,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4160107919,202875,,,,,,,,1115136,5496665434
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4210716518,32768,,,,,,,,65536,2000000000
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4210797926,32224,,,,,,,,65536,2033763654
"void MatrixMulKernel_3<int=8>(float*, float const *, float const *, int)",12,556,0,992,0,15872,16640,8320,0,0,0,1976,0,62,33254,23019,496,0,0,17408,0,0,17408,272,4210836582,140480,16,16,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4211022147,16160,,,,,,,,65536,4055445544
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4254962108,48160,,,,,,,,262144,5443189368
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4255115516,47552,,,,,,,,262144,5512786002
"void MatrixMulKernel_3<int=8>(float*, float const *, float const *, int)",12,556,0,4096,0,131072,130560,65280,0,0,0,17200,0,257,242682,163075,2048,0,0,130560,0,0,130560,1024,4255167164,929856,32,32,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4256147995,48992,,,,,,,,262144,5350751143
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4305161490,103840,,,,,,,,589824,5680123266
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4305462130,103136,,,,,,,,589824,5718895439
"void MatrixMulKernel_3<int=8>(float*, float const *, float const *, int)",12,556,0,9216,0,442368,442368,221184,0,0,0,56832,0,576,806339,536082,4608,0,0,442368,0,0,442368,2304,4305569426,3034336,48,48,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4308710252,107902,,,,,,,,589824,5466293488
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4359626848,177248,,,,,,,,1048576,5915869290
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4360064096,177120,,,,,,,,1048576,5920144534
"void MatrixMulKernel_3<int=8>(float*, float const *, float const *, int)",12,556,0,16416,0,1050624,1048576,524288,0,0,0,134064,0,1024,1893728,1261317,8184,0,0,1051648,0,0,1051648,4100,4360245280,7001312,64,64,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4367863214,182908,,,,,,,,1048576,5732805563
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4419686857,283168,,,,,,,,1638400,5785964515
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4420383945,282624,,,,,,,,1638400,5797101449
"void MatrixMulKernel_3<int=8>(float*, float const *, float const *, int)",12,556,0,25536,0,2042880,2056960,1028480,0,0,0,261568,0,1602,3725909,2452459,12744,0,0,2051840,0,0,2051840,6384,4420670633,13819520,80,80,1,8,8,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4434573340,291961,,,,,,,,1638400,5611708413
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4488165102,32768,,,,,,,,65536,2000000000
"Memcpy HtoD [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4488246478,32224,,,,,,,,65536,2033763654
"void MatrixMulKernel_3<int=16>(float*, float const *, float const *, int)",12,2092,0,768,0,3072,0,3072,0,3072,0,1568,0,18,0,14464,0,240,0,3840,0,0,3840,208,4488285134,92608,8,8,1,16,16,1,0,,
"Memcpy DtoH [sync]",,,,,,,,,,,,,,,,,,,,,,,,,4488423115,15967,,,,,,,,65536,4104465460
