Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec),Global Store Efficiency,Global Load Efficiency,Requested Global Load Throughput(bytes/sec),Branch Efficiency(%),Requested Global Store Throughput(bytes/sec),gld coalesced,gld uncoalesced,gst request,gst total,gst 64B,gst 32B,cta launched,sm cta launched,local load,local store,gld 128B,gld 64B,gst uncoalesced,gst coalesced,gld total,gst 128B,gld 32B,gld request,prof trigger 07,prof trigger 06,prof trigger 05,prof trigger 04,tex cache hit,tex cache miss,warp serialize,instructions,divergent branch,branch,prof trigger 03,prof trigger 02,prof trigger 01,prof trigger 00
"void MatrixMulKernel_3<int=8>(float*, float const *, float const *, int)",3461819535,13152,8,8,1,8,8,1,11,544,0,,,5,062,5,062,2133333333,100,134736842,1024,0,6,1024,0,64,8,3,0,0,0,0,0,128,1024,0,1024,96,0,0,0,0,0,0,2354,1620,0,168,0,0,0,0
"Memcpy DtoH [sync]",3461938351,7360,,,,,,,,,,16384,2226086956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3500571785,28928,,,,,,,,,,65536,2265486725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3500646825,28928,,,,,,,,,,65536,2265486725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=8>(float*, float const *, float const *, int)",3500688201,56288,16,16,1,8,8,1,11,544,0,,,4,655,4,655,4059048660,100,127823691,7424,0,20,7424,0,232,29,10,0,0,0,0,0,464,7424,0,7424,640,0,0,0,0,0,0,13706,9696,0,1040,0,0,0,0
"Memcpy DtoH [sync]",3500816457,17344,,,,,,,,,,65536,3778597785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3541008131,59136,,,,,,,,,,262144,4432900432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3541201475,58432,,,,,,,,,,262144,4486308871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=8>(float*, float const *, float const *, int)",3541263395,331680,32,32,1,8,8,1,11,544,0,,,4,5,4,5,5617709335,100,87230989,58368,0,76,58368,0,912,114,38,0,0,0,0,0,1824,58368,0,58368,4864,0,0,0,0,0,0,89950,69632,0,7600,0,0,0,0
"Memcpy DtoH [sync]",3541685955,57824,,,,,,,,,,262144,4533480907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3585558766,129408,,,,,,,,,,589824,4557863501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3585909966,134368,,,,,,,,,,589824,4389616575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=8>(float*, float const *, float const *, int)",3586047950,1093088,48,48,1,8,8,1,11,544,0,,,4,535,4,535,5735021293,100,59832305,196608,0,172,196608,0,2048,256,86,0,0,0,0,0,4096,196608,0,196608,16512,0,0,0,0,0,0,305142,231872,0,25456,0,0,0,0
"Memcpy DtoH [sync]",3588128814,130720,,,,,,,,,,589824,4512117503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3637914992,223808,,,,,,,,,,1048576,4685158707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3638530032,223744,,,,,,,,,,1048576,4686498855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=8>(float*, float const *, float const *, int)",3638757264,2587904,64,64,1,8,8,1,11,544,0,,,4,5,4,5,5781227946,100,44875816,466944,0,304,466944,0,3648,456,152,0,0,0,0,0,7296,466944,0,466944,38912,0,0,0,0,0,0,722664,541136,0,59584,0,0,0,0
"Memcpy DtoH [sync]",3641495376,222272,,,,,,,,,,1048576,4717535272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3689143845,10080,,,,,,,,,,16384,1625396825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3689191909,9376,,,,,,,,,,16384,1747440273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=16>(float*, float const *, float const *, int)",3689226277,9952,4,4,1,16,16,1,11,2080,0,,,13,5,13,5,1340314136,100,167101827,256,0,8,256,32,0,2,1,0,0,0,256,0,128,256,0,0,64,0,0,0,0,0,0,0,2002,0,128,0,0,0,0
"Memcpy DtoH [sync]",3689320069,7360,,,,,,,,,,16384,2226086956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3728414191,28928,,,,,,,,,,65536,2265486725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3728489231,28928,,,,,,,,,,65536,2265486725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=16>(float*, float const *, float const *, int)",3728530543,34496,8,8,1,16,16,1,11,2080,0,,,10,125,10,125,3580419580,100,225352112,2048,0,24,2048,128,0,8,3,0,0,0,2048,0,512,2048,0,0,384,0,0,0,0,0,0,0,10680,0,672,0,0,0,0
"Memcpy DtoH [sync]",3728652239,17376,,,,,,,,,,65536,3771639042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3767563201,58784,,,,,,,,,,262144,4459444746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3767758817,58368,,,,,,,,,,262144,4491228070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=16>(float*, float const *, float const *, int)",3767820673,201312,16,16,1,16,16,1,11,2080,0,,,9,31,9,31,4682434563,100,146418428,14848,0,80,14848,464,0,29,10,0,0,0,14848,0,1856,14848,0,0,2560,0,0,0,0,0,0,0,66912,0,4160,0,0,0,0
"Memcpy DtoH [sync]",3768092513,57952,,,,,,,,,,262144,4523467697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3813765453,129216,,,,,,,,,,589824,4564635958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3814115469,129280,,,,,,,,,,589824,4562376237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=16>(float*, float const *, float const *, int)",3814248237,635424,24,24,1,16,16,1,11,2080,0,,,9,281,9,281,5000712178,100,105431145,49152,0,176,49152,1024,0,64,22,0,0,0,49152,0,4096,49152,0,0,8448,0,0,0,0,0,0,0,216152,0,13376,0,0,0,0
"Memcpy DtoH [sync]",3814982989,128256,,,,,,,,,,589824,4598802395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3864991174,224608,,,,,,,,,,1048576,4668471292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3865572038,223648,,,,,,,,,,1048576,4688510516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_3<int=16>(float*, float const *, float const *, int)",3865799174,1422656,32,32,1,16,16,1,11,2080,0,,,9,9,5285998913,100,82552613,116736,0,304,116736,1824,0,114,38,0,0,0,116736,0,7296,116736,0,0,19456,0,0,0,0,0,0,0,492512,0,30400,0,0,0,0
"Memcpy DtoH [sync]",3867335142,222816,,,,,,,,,,1048576,4706017521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3915809430,9952,,,,,,,,,,16384,1646302250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3915856790,9408,,,,,,,,,,16384,1741496598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_4<int=8>(float*, float const *, float const *, int)",3915892950,12832,8,8,1,8,8,1,12,544,0,,,5,062,5,062,2531868131,100,141280353,1152,0,6,1152,0,64,8,3,0,0,0,0,0,128,1152,0,1152,108,0,0,0,0,0,0,2011,2155,0,204,0,0,0,0
"Memcpy DtoH [sync]",3915991638,7264,,,,,,,,,,16384,2255506607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3955774587,28928,,,,,,,,,,65536,2265486725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3955849947,28928,,,,,,,,,,65536,2265486725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_4<int=8>(float*, float const *, float const *, int)",3955891227,61696,16,16,1,8,8,1,12,544,0,,,4,655,4,655,4024489795,100,118006103,7888,0,20,7888,0,232,29,10,0,0,0,0,0,464,7888,0,7888,680,0,0,0,0,0,0,13243,13417,0,1320,0,0,0,0
"Memcpy DtoH [sync]",3956038299,17376,,,,,,,,,,65536,3771639042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3994975036,59008,,,,,,,,,,262144,4442516268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",3995176124,58496,,,,,,,,,,262144,4481400437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_4<int=8>(float*, float const *, float const *, int)",3995238108,388096,32,32,1,8,8,1,12,544,0,,,4,5,4,5,4949592961,100,75037024,60192,0,76,60192,0,912,114,38,0,0,0,0,0,1824,60192,0,60192,5016,0,0,0,0,0,0,90807,98361,0,9880,0,0,0,0
"Memcpy DtoH [sync]",3995730076,57920,,,,,,,,,,262144,4525966850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4040366483,130272,,,,,,,,,,589824,4527634487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4040716499,129248,,,,,,,,,,589824,4563505818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_4<int=8>(float*, float const *, float const *, int)",4040849235,1293376,48,48,1,8,8,1,12,544,0,,,4,535,4,535,4968289724,100,50715665,200704,0,172,200704,0,2048,256,86,0,0,0,0,0,4096,200704,0,200704,16856,0,0,0,0,0,0,307919,329914,0,33368,0,0,0,0
"Memcpy DtoH [sync]",4042247763,127968,,,,,,,,,,589824,4609152288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4091755472,224256,,,,,,,,,,1048576,4675799086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4092331664,223744,,,,,,,,,,1048576,4686498855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_4<int=8>(float*, float const *, float const *, int)",4092558896,3023424,64,64,1,8,8,1,12,544,0,,,4,5,4,5,5022824279,100,38625246,474240,0,304,474240,0,3648,456,152,0,0,0,0,0,7296,474240,0,474240,39520,0,0,0,0,0,0,725179,772787,0,78432,0,0,0,0
"Memcpy DtoH [sync]",4095674736,222336,,,,,,,,,,1048576,4716177317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4143876796,9952,,,,,,,,,,16384,1646302250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4143932668,9408,,,,,,,,,,16384,1741496598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_4<int=16>(float*, float const *, float const *, int)",4143990588,10048,4,4,1,16,16,1,12,2080,0,,,13,5,13,5,1763085399,100,175342465,320,0,8,320,32,0,2,1,0,0,0,320,0,128,320,0,0,80,0,0,0,0,0,0,0,2335,0,144,0,0,0,0
"Memcpy DtoH [sync]",4144092028,7296,,,,,,,,,,16384,2245614035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4182988778,28928,,,,,,,,,,65536,2265486725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4183063594,28928,,,,,,,,,,65536,2265486725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_4<int=16>(float*, float const *, float const *, int)",4183137354,38624,8,8,1,16,16,1,12,2080,0,,,10,125,10,125,3722132471,100,206952303,2304,0,24,2304,128,0,8,3,0,0,0,2304,0,512,2304,0,0,432,0,0,0,0,0,0,0,12840,0,816,0,0,0,0
"Memcpy DtoH [sync]",4183266058,17696,,,,,,,,,,65536,3703435804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4222264532,59552,,,,,,,,,,262144,4401934443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4222463860,58464,,,,,,,,,,262144,4483853311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_4<int=16>(float*, float const *, float const *, int)",4222525812,225408,16,16,1,16,16,1,12,2080,0,,,9,31,9,31,4447702283,100,131221719,15776,0,80,15776,464,0,29,10,0,0,0,15776,0,1856,15776,0,0,2720,0,0,0,0,0,0,0,81792,0,5280,0,0,0,0
"Memcpy DtoH [sync]",4222837684,57376,,,,,,,,,,262144,4568878973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4267395103,129760,,,,,,,,,,589824,4545499383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4267743839,129600,,,,,,,,,,589824,4551111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_4<int=16>(float*, float const *, float const *, int)",4267876959,728192,24,24,1,16,16,1,12,2080,0,,,9,281,9,281,4529971245,100,90539345,51200,0,176,51200,1024,0,64,22,0,0,0,51200,0,4096,51200,0,0,8800,0,0,0,0,0,0,0,265792,0,17248,0,0,0,0
"Memcpy DtoH [sync]",4268714943,128352,,,,,,,,,,589824,4595362752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4317132210,223808,,,,,,,,,,1048576,4685158707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4317706866,223200,,,,,,,,,,1048576,4697921146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_4<int=16>(float*, float const *, float const *, int)",4317933554,1652448,32,32,1,16,16,1,12,2080,0,,,9,9,4677286502,100,70883124,120384,0,304,120384,1824,0,114,38,0,0,0,120384,0,7296,120384,0,0,20064,0,0,0,0,0,0,0,607424,0,39520,0,0,0,0
"Memcpy DtoH [sync]",4319675378,222432,,,,,,,,,,1048576,4714141850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4369030989,9984,,,,,,,,,,16384,1641025641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4369078445,9376,,,,,,,,,,16384,1747440273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_5<int=8>(float*, float const *, float const *, int)",4369115373,23424,4,4,1,8,8,1,24,1056,0,,,6,75,6,75,1104859335,100,163892445,576,0,8,576,64,0,2,1,0,0,0,288,0,256,576,0,288,72,0,0,0,0,0,0,4554,1796,0,68,0,0,0,0
"Memcpy DtoH [sync]",4369219821,7264,,,,,,,,,,16384,2255506607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4406746407,28960,,,,,,,,,,65536,2262983425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4406821287,28928,,,,,,,,,,65536,2265486725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_5<int=8>(float*, float const *, float const *, int)",4406862439,61504,8,8,1,8,8,1,24,1056,0,,,5,062,5,062,3332312404,100,260559796,4352,0,24,4352,256,0,8,3,0,0,0,2176,0,1024,4352,0,2176,408,0,0,0,0,0,0,15417,10276,0,396,0,0,0,0
"Memcpy DtoH [sync]",4407011783,17376,,,,,,,,,,65536,3771639042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4444992666,59072,,,,,,,,,,262144,4437703141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4445197786,58464,,,,,,,,,,262144,4483853311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_5<int=8>(float*, float const *, float const *, int)",4445259834,354656,16,16,1,8,8,1,24,1056,0,,,4,655,4,655,4129078651,100,166502197,30624,0,80,30624,928,0,29,10,0,0,0,15312,0,3712,30624,0,15312,2640,0,0,0,0,0,0,98033,66876,0,2600,0,0,0,0
"Memcpy DtoH [sync]",4445712442,57280,,,,,,,,,,262144,4576536312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4491169376,129888,,,,,,,,,,589824,4541019955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4491520000,128960,,,,,,,,,,589824,4573697270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_5<int=8>(float*, float const *, float const *, int)",4491652448,1057152,24,24,1,8,8,1,24,1056,0,,,4,641,4,641,4545339251,100,123865973,100352,0,176,100352,2048,0,64,22,0,0,0,50176,0,8192,100352,0,50176,8624,0,0,0,0,0,0,297975,218916,0,8536,0,0,0,0
"Memcpy DtoH [sync]",4492814912,127808,,,,,,,,,,589824,4614922383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4542551434,224160,,,,,,,,,,1048576,4677801570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4543126410,223808,,,,,,,,,,1048576,4685158707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_5<int=8>(float*, float const *, float const *, int)",4543353706,2418848,32,32,1,8,8,1,24,1056,0,,,4,5,4,5,4707439416,100,96519426,237120,0,304,237120,3648,0,114,38,0,0,0,118560,0,14592,237120,0,118560,19760,0,0,0,0,0,0,688870,502148,0,19608,0,0,0,0
"Memcpy DtoH [sync]",4545881002,222464,,,,,,,,,,1048576,4713463751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4593886986,9952,,,,,,,,,,16384,1646302250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4593934378,9408,,,,,,,,,,16384,1741496598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_5<int=16>(float*, float const *, float const *, int)",4593969962,30176,2,2,1,16,16,1,37,4128,0,,,27,27,974619289,100,258064516,320,0,32,384,0,0,1,1,0,0,160,160,0,512,320,64,0,160,0,0,0,0,0,0,3747,7270,0,144,0,0,0,0
"Memcpy DtoH [sync]",4594081098,7264,,,,,,,,,,16384,2255506607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4630589028,28928,,,,,,,,,,65536,2265486725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4630664228,28928,,,,,,,,,,65536,2265486725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_5<int=16>(float*, float const *, float const *, int)",4630705316,57888,4,4,1,16,16,1,37,4128,0,,,13,5,13,5,1877240630,100,278260869,1152,0,32,1280,0,0,2,1,0,0,576,576,0,1024,1152,128,0,288,0,0,0,0,0,0,7607,13844,0,272,0,0,0,0
"Memcpy DtoH [sync]",4630845700,17376,,,,,,,,,,65536,3771639042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4668054092,59072,,,,,,,,,,262144,4437703141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4668241836,58880,,,,,,,,,,262144,4452173913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_5<int=16>(float*, float const *, float const *, int)",4668304268,319296,8,8,1,16,16,1,37,4128,0,,,10,125,10,125,2604168744,100,204289276,8704,0,96,9216,0,0,8,3,0,0,4352,4352,0,4096,8704,512,0,1632,0,0,0,0,0,0,44995,81076,0,1584,0,0,0,0
"Memcpy DtoH [sync]",4668720524,57248,,,,,,,,,,262144,4579094466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4712184588,129920,,,,,,,,,,589824,4539901477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4712538316,129280,,,,,,,,,,589824,4562376237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_5<int=16>(float*, float const *, float const *, int)",4712671084,940416,12,12,1,16,16,1,37,4128,0,,,10,125,10,125,2605156037,100,139258151,25600,0,192,26624,0,0,16,6,0,0,12800,12800,0,8192,25600,1024,0,4800,0,0,0,0,0,0,135055,241216,0,4704,0,0,0,0
"Memcpy DtoH [sync]",4713715756,128128,,,,,,,,,,589824,4603396603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4761384128,224256,,,,,,,,,,1048576,4675799086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memcpy HtoD [sync]",4761963808,223200,,,,,,,,,,1048576,4697921146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"void MatrixMulKernel_5<int=16>(float*, float const *, float const *, int)",4762190464,2064992,16,16,1,16,16,1,37,4128,0,,,9,31,9,31,2845567738,100,115243713,61248,0,320,63104,0,0,29,10,0,0,30624,30624,0,14848,61248,1856,0,10560,0,0,0,0,0,0,299845,533865,0,10400,0,0,0,0
"Memcpy DtoH [sync]",4764350432,222528,,,,,,,,,,1048576,4712108139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
